date,NumberofDeath
19-Aug-17,1
20-Aug-17,1
21-Aug-17,1
22-Aug-17,0
23-Aug-17,1
24-Aug-17,1
25-Aug-17,0
26-Aug-17,1
27-Aug-17,1
28-Aug-17,1
29-Aug-17,1
30-Aug-17,8
31-Aug-17,56
1-Sep-17,143
2-Sep-17,116
3-Sep-17,54
4-Sep-17,46
5-Sep-17,36
6-Sep-17,20
7-Sep-17,28
8-Sep-17,12
9-Sep-17,11
10-Sep-17,5
11-Sep-17,5
12-Sep-17,1
13-Sep-17,3
14-Sep-17,0
15-Sep-17,1
16-Sep-17,4
17-Sep-17,2
18-Sep-17,3
19-Sep-17,0
20-Sep-17,0
21-Sep-17,2
22-Sep-17,1
23-Sep-17,1
24-Sep-17,1
25-Sep-17,1
26-Sep-17,1
27-Sep-17,1
28-Sep-17,0
29-Sep-17,0
